P_extract_Pa,P_extract_MPa,eta,y
4459.3193787490345,0.0044593193787490345,0.4506866044892021,0.0018779994644356616
106945.22355588034,0.10694522355588033,0.475947257022874,0.12993289976297984
209431.12773301164,0.20943112773301165,0.4796454709469014,0.15961906414659274
311917.031910143,0.311917031910143,0.4814425451191416,0.17795522201557712
414402.9360872743,0.4144029360872743,0.4825141302448277,0.1914436926045339
516888.8402644056,0.5168888402644056,0.48321207552114376,0.20220751093430767
619374.7444415368,0.6193747444415368,0.4836865558927089,0.21121525946039363
721860.6486186681,0.721860648618668,0.4840146086487841,0.21899268142402806
824346.5527957994,0.8243465527957995,0.48423667972066964,0.2258521295818076
926832.4569729308,0.9268324569729308,0.48436833417034536,0.2319833939289523
1029318.3611500621,1.029318361150062,0.48443011574026457,0.23753355794378186
1131804.2653271933,1.1318042653271934,0.4844373672965158,0.24261004174096903
1234290.1695043247,1.2342901695043247,0.4844011893881507,0.24729280734763498
1336776.073681456,1.336776073681456,0.48432983402324925,0.2516430076380564
1439261.9778585872,1.4392619778585871,0.484229577659282,0.25570847588213386
1541747.8820357185,1.5417478820357184,0.48410528802937325,0.25952734602958866
1644233.78621285,1.64423378621285,0.4839608039960975,0.26313051911848245
1746719.6903899813,1.7467196903899813,0.483799197230877,0.2665433910394226
1849205.5945671126,1.8492055945671126,0.4836229568878792,0.26978709239080473
1951691.4987442438,1.9516914987442437,0.48343412272695013,0.2728793971292535
2054177.4029213751,2.054177402921375,0.48323438289171405,0.2758354009437589
2156663.3070985065,2.1566633070985066,0.48302514693419313,0.27866803610416885
2259149.2112756376,2.2591492112756377,0.4828076011716961,0.2813884679802437
2361635.115452769,2.3616351154527693,0.4825827512170041,0.28400640448143843
2464121.0196299003,2.4641210196299004,0.4823514550524268,0.2865303404352475
2566606.9238070315,2.5666069238070315,0.4821144490349614,0.2889677526827539
2669092.827984163,2.669092827984163,0.4818723685498163,0.29132525737434506
2771578.732161294,2.771578732161294,0.4816257645652187,0.29360873794030584
2874064.6363384253,2.8740646363384252,0.4813751170146073,0.29582345007180033
2976550.540515557,2.976550540515557,0.4811208456989191,0.29797410850450523
3079036.444692688,3.079036444692688,0.48086331923287046,0.3000649592696029
3181522.3488698197,3.1815223488698194,0.4806028624354712,0.30209984024270375
3284008.253046951,3.284008253046951,0.48033976247348603,0.304082232197669
3386494.157224082,3.386494157224082,0.4800742739980057,0.30601530210079025
3488980.0614012135,3.4889800614012136,0.47980662346254743,0.307901940021402
3591465.9655783447,3.5914659655783447,0.4795370127716075,0.3097447907579767
3693951.8697554762,3.6939518697554763,0.4792656223782382,0.31154628106402715
3796437.7739326074,3.7964377739326074,0.47899261392568804,0.3133086431898927
3898923.6781097385,3.8989236781097385,0.4787181325097548,0.3150339353239659
4001409.58228687,4.00140958228687,0.47844230862406606,0.3167240594117649
4103895.4864640012,4.103895486464001,0.47816525983903396,0.31838077674716164
4206381.390641133,4.206381390641133,0.47788709225613224,0.32000572166248514
4308867.294818264,4.308867294818264,0.477607901771825,0.32160041358964725
4411353.198995396,4.411353198995395,0.47732777517959146,0.32316626771993695
4513839.103172527,4.5138391031725265,0.47704679113371573,0.32470460445383076
4616325.007349658,4.616325007349658,0.4767650209946331,0.3262166578023425
4718810.91152679,4.7188109115267896,0.47648252957242676,0.32770358287676193
4821296.815703921,4.821296815703921,0.4761993757824769,0.32916646258325555
4923782.719881052,4.923782719881052,0.47591561322508524,0.3306063136217429
5026268.624058183,5.026268624058183,0.47563129069911964,0.3320240918742493
5128754.528235314,5.128754528235315,0.4753464526582311,0.33342069725601947
5231240.4324124465,5.231240432412447,0.47506113961694996,0.33479697809256687
5333726.336589578,5.333726336589578,0.474775388512921,0.33615373507733237
5436212.240766709,5.436212240766709,0.4744892330306639,0.33749172485741874
5538698.14494384,5.53869814494384,0.4742027038914989,0.3388116632887025
5641184.049120971,5.641184049120971,0.4739158291136497,0.34011422839632044
